name,latitude,longitude
Златуша,42.7653,23.0507
Гулийка,41.4541,25.7214
Любен,43.9438,27.0425
Вършило,42.2581,27.3787
Изворово,42.2966,25.3155
Остра могила,42.463,25.4636
Левочево,41.6082,24.7393
Борци,43.5408,26.8887
Веселина,43.4561,26.6807
Разсоха,43.022,25.9749
Яворово,42.3248,25.4519
Рельово,42.3715,23.4455
Свети Никола,43.435,28.4936
Кулата,41.3886,23.3633
Смочево,42.1444,23.0923
Церовище,43.0513,26.5857
Златари,42.3921,26.2074
Горно Дряново,41.6582,23.8276
Върбица,43.1809,25.8257
Еленов дол,43.0411,23.4777
Константиново,42.4032,27.3194
Ловец,43.0573,26.7111
Гьоврен,41.6624,24.3725
Крън,42.6661,25.3713
Шишковци,42.3523,22.7143
Железница,41.9294,23.1059
Софийци,41.5353,25.3632
Чернозем,42.1131,26.6071
Белотинци,43.5492,22.9287
Краново,44.0068,27.6306
Гумощник,42.921,24.8303
Мартиново,43.4005,22.8355
Буховци,43.3137,26.7061
Козарка,41.4544,25.1395
Камен,43.3127,25.9257
Ловнидол,42.9971,25.2494
Тертер,43.8896,26.5577
Пчелин,42.8849,26.7732
Сливово,42.2331,27.0143
Войница,43.9368,22.6979
Падеш,41.932,23.0026
Пърличево,43.2861,23.3031
Хан Аспарухово,42.4424,25.8461
Фатово,41.5482,24.7761
Рупките,42.2466,25.3492
Дропла,42.9104,27.1989
Янтра,42.9772,25.3204
Кочово,43.2255,26.7964
Велиново,42.7892,22.6997
Гайтанци,43.833,22.8123
Атия,42.4242,27.5843
Косово,42.5862,22.5827
Райкова могила,41.8205,26.3009
Баланово,42.2508,23.0592
Радово,42.7985,22.5891
Ново Паничарево,42.2853,27.5564
Мрамор,42.0499,26.3993
Алино,42.4021,23.3833
Дълги Припек,43.0081,26.0498
Главановци,42.8168,22.5255
Благоево,43.4555,26.4035
Макариополско,43.3399,26.6772
Марян,42.931,25.9674
Книжовник,41.8276,25.5985
Зидарци,42.6485,22.9569
Здравец,43.6407,26.9053
Черни връх,43.0476,27.1976
Белица,41.8276,26.0082
Сапарева баня,42.2892,23.2661
Илийско,41.4528,25.3388
Дондуково,43.7119,23.1023
Кобиляне,41.5968,25.235
Крагулево,43.8028,27.6572
Езерец,43.5932,28.5303
Езерово,43.2025,27.7687
Руйно,43.8318,27.0189
Буката,41.4978,24.654
Приморци,43.5519,27.9052
Блатешница,42.4483,22.7768
Бохова,42.7689,22.4933
Рогозари,41.4608,25.3453
Дянково,43.6238,26.5975
Лелинци,42.2321,22.7418
Тишаново,42.1183,22.8298
Преславци,43.9318,26.6979
Бенковски,41.3809,25.257
Средок,41.4567,24.6087
Нова Ловча,41.4204,23.7205
Горна крепост,41.7248,25.4638
Орешец,41.7654,25.9092
Димитровград,42.056,25.5915
Златоклас,43.9226,27.0513
Зарица,43.8366,26.9465
Малки Искър,42.9212,24.078
Граматиково,42.0647,27.6501
Долно Камарци,42.7148,23.8554
Гроздьово,43.0292,27.542
Тошевци,43.8167,22.6331
Китен,42.2345,27.7708
Голямо Крушево,42.1903,26.9259
Ценово,42.1613,25.396
Ласкарево,41.543,23.3322
Медово,43.6097,27.5342
Мъглища,41.5039,24.9119
Борисово,43.9366,26.2235
Конуш,42.0665,25.0379
Враня стена,42.5261,22.7313
Желязово,42.4817,27.1397
Чакалци,41.4945,25.3249
Жребичко,42.0268,24.4293
Страхилово,43.4079,25.5657
Бял извор,41.5418,25.0707
Малка Арда,41.618,24.9292
Селище,42.8547,25.0323
Сипец,41.5183,25.2584
Слатино,42.1614,23.0562
Ябълковец,41.5949,25.1861
Батошево,42.9087,25.0827
Горно Ново село,42.4537,25.2338
Долно Церовене,43.5841,23.2447
Ябланово,42.9861,26.5498
Кичево,43.2756,27.9596
Беланица,42.4832,22.9381
Горни Юруци,41.3486,25.9182
Средец,42.3375,27.1908
Чокоба,42.5172,26.358
Първомайци,43.1534,25.6528
Малко Брягово,41.6971,25.8928
Бутан,43.6506,23.7595
Горна Арда,41.4503,24.6093
Менгишево,43.0332,26.6449
Речани,41.4564,24.6483
Дренов,43.2864,24.8394
Постник,41.5803,25.5613
Злати войвода,42.5916,26.1897
Оряховец,41.6196,24.9851
Мрамор,42.7498,22.6139
Бистра,43.8406,27.3742
Голямо Враново,43.9625,26.34
Змейно,43.0611,26.3422
Михнево,41.4536,23.1963
Лозен,42.4143,25.4319
Черни бряг,43.1331,26.085
Жълтика,41.5126,25.2015
Левски,43.3601,25.1413
Гоце Делчев,41.5767,23.7452
Телчарка,41.4891,25.2746
Големо село,42.2929,23.042
Чеплетен,41.4634,24.7505
Кърпачево,43.2237,25.0059
Главановци,43.3242,22.9633
Кошница,41.5159,24.6806
Катунец,43.205,24.5022
Вълкович,41.52,25.3182
Асеновград,42.0078,24.8733
Миладиновци,43.3987,26.4811
Средска,41.7775,25.2036
Бърза река,41.7332,25.3804
Войново,41.7495,25.1791
Висока,41.7202,25.2349
Ухловица,41.5098,24.6555
Салаш,43.6149,22.53
Русалка,43.4177,28.5135
Виларе,42.8194,25.6087
Власатили,42.8075,25.5875
Иринеци,42.8178,25.5781
Гайдари,42.8007,25.5902
Мръзеци,42.7892,25.5454
Дъскарите,42.8405,25.6008
Горановци,42.8012,25.6276
Ивановци,42.8194,25.6562
Бочковци,42.8358,25.6746
Велчовци,42.8018,25.5729
Неделище,42.9006,22.836
Чуковезер,42.9052,22.9031
Камбелевци,42.8926,22.8838
Чорул,42.9183,22.8642
Начево,42.8811,22.8245
Летница,42.9567,22.9284
Гара Боиловци,42.8716,22.8699
Проданча,42.876,22.7357
Бахалин,42.8855,22.9147
Табан,42.8821,22.8909
Плана,42.4864,23.4078
Предела,41.884,23.367
Горно Осеново,41.9916,23.2641
Светославци,42.9177,26.0794
Глоговец,42.9661,26.1189
Горно Камарци,42.7563,23.8251
Ягодово,42.114,24.8482
Босилково,42.8212,27.0054
